2015 08 11    7.09   25.20   21.22   28.62   21.53   24.78              0.36              0.36              -999              3.74
2015 08 12    9.61   25.33   20.62   29.37   19.76   24.95              0.62              0.62              -999              6.35
2015 08 13    7.88   25.61   21.08   28.72   20.84   24.82              0.60              0.60              6.44              6.19
2015 08 14    7.44   25.56   21.30   28.62   21.18   24.84              0.58              0.58              6.41              6.12
2015 08 15    7.62   25.13   21.84   28.66   21.03   24.91              0.50              0.50              -999              5.06
2015 08 16    8.32   25.38   20.95   29.25   20.93   25.37              0.23              0.23              -999              2.38
2015 08 17    9.46   25.13   19.96   29.02   19.56   24.51              0.63              0.63              6.33              6.28
2015 08 18    9.03   25.86   20.33   29.88   20.85   25.38              0.59              0.59              6.27              6.10
2015 08 19    6.89   24.64   19.81   28.48   21.59   24.78              0.39              0.39              -999              3.99
2015 08 20    5.69   24.67   20.43   27.68   21.99   24.47              0.23              0.23              -999              2.29
2015 08 21    6.69   24.02   19.95   27.55   20.86   24.02              0.44              0.44              -999              4.35
2015 08 22    6.82   24.10   20.13   27.34   20.52   23.81              0.47              0.47              -999              4.72
2015 08 23    8.77   25.40   19.42   28.98   20.21   24.71              0.62              0.62              6.20              5.99
2015 08 24    6.30   23.53   20.07   27.09   20.79   23.50              0.39              0.39              -999              3.77
2015 08 25    4.88   21.25   18.34   23.40   18.52   21.02              0.17              0.17              -999              1.63
2015 08 26    7.14   21.88   17.53   24.47   17.32   20.95              0.32              0.32              -999              3.14
2015 08 27    7.26   22.21   16.98   26.20   18.94   22.28              0.63              0.63              6.01              5.96
2015 08 28    9.32   21.86   16.36   26.44   17.13   21.92              0.57              0.57              -999              5.49
2015 08 29    8.33   22.40   17.44   26.86   18.52   22.43              0.59              0.59              -999              5.83
2015 08 30    8.12   22.92   18.24   27.15   19.03   22.71              0.57              0.57              5.88              5.58
2015 08 31   10.07   23.82   18.48   28.20   18.12   23.37              0.57              0.57              -999              5.55
2015 09 01    7.77   23.48   18.83   27.54   19.76   23.04              0.57              0.57              -999              5.36
2015 09 02    5.88   22.30   19.13   25.14   19.26   22.07              0.30              0.30              -999              2.84
2015 09 03    6.68   22.82   19.09   26.07   19.39   22.41              0.58              0.58              5.73              5.34
2015 09 04    7.98   23.44   19.01   27.05   19.08   23.00              0.62              0.62              -999              5.71
2015 09 05    5.94   21.80   17.90   24.11   18.17   21.39              0.11              0.11              -999              0.98
2015 09 06    8.64   20.69   16.48   24.80   16.16   20.07              0.49              0.49              -999              4.47
2015 09 07   11.07   20.95   15.34   25.77   14.69   20.23              0.64              0.64              5.78              5.77
2015 09 08   11.31   19.77   12.97   25.48   14.17   19.06              0.67              0.67              5.84              5.84
2015 09 09   12.47   19.50   14.45   25.33   12.86   18.83              0.64              0.64              5.78              5.75
2015 09 10   11.11   20.85   16.49   25.37   14.26   19.98              0.62              0.62              5.51              5.48
2015 09 11    6.43   20.68   17.08   23.55   17.12   20.14              0.19              0.19              -999              1.71
2015 09 12    7.92   18.54   11.86   22.07   14.15   17.74              0.44              0.44              -999              3.83
2015 09 13   10.94   18.20   11.20   22.68   11.74   17.59              0.62              0.62              5.53              5.51
2015 09 14   10.23   20.70   14.68   25.36   15.13   20.43              0.59              0.59              5.39              5.29
2015 09 15    9.94   20.29   13.16   25.34   15.40   19.72              0.60              0.60              5.41              5.26
2015 09 16   10.23   19.20   12.41   24.00   13.77   18.39              0.61              0.61              5.43              5.30
2015 09 17   12.30   19.23   13.40   24.86   12.56   18.37              0.63              0.63              5.36              5.32
2015 09 18   12.00   20.09   13.61   25.10   13.11   19.18              0.60              0.60              5.29              5.24
2015 09 19   10.87   20.84   15.11   25.43   14.56   19.98              0.59              0.59              5.18              5.07
2015 09 20    9.30   20.41   15.83   24.92   15.63   20.32              0.54              0.54              -999              4.55
2015 09 21    9.76   20.52   13.60   25.88   16.12   20.86              0.61              0.61              5.23              5.09
2015 09 22   12.29   20.74   14.69   26.94   14.65   20.76              0.60              0.60              5.11              5.05
2015 09 23    9.10   20.41   14.74   25.30   16.20   20.09              0.23              0.23              -999              1.85
2015 09 24   11.51   20.61   15.35   26.31   14.81   20.21              0.58              0.58              -999              4.83
2015 09 25   10.18   21.09   15.71   25.69   15.51   20.45              0.55              0.55              -999              4.49
2015 09 26   10.00   19.53   14.24   24.72   14.72   19.26              0.47              0.47              -999              3.74
2015 09 27   12.11   19.27   11.63   25.87   13.76   19.19              0.61              0.61              4.99              4.96
